																														Public/Private	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public	Public
																														Category	Mouse	Mouse	Mouse	Mouse	Blank	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Mouse	Blank
																														Tissue/Species	Liver	Liver	Liver	Liver	Blank	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Liver	Blank
																														Genotype/Background	C57B6/J	C57B6/J	C57B6/J	C57B6/J	Blank	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	C57B6/J	Blank
																														Perturbation	No	No	No	No	Blank	No	No	No	No	No	No	No	No	No	No	No	No	Blank
																														Diet/Culture	F1+EE-ARA	F1+EE-ARA	F1+EE-ARA	F1+EE-ARA	Blank	F1+EE-DHA	F1+EE-DHA	F1+EE-DHA	F1+EE-DHA	F1+EE-EPA	F1+EE-EPA	F1+EE-EPA	F1+EE-EPA	F1(fish-meal free)	F1(fish-meal free)	F1(fish-meal free)	F1(fish-meal free)	Blank
																														Biological replicate	1	2	3	4	1	1	2	3	4	1	2	3	4	1	2	3	4	1
																														Technical replicate	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
																														Unit	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue	pmol/mg tissue
Alignment ID	Average Rt(min)	Average Mz	Metabolite name	Adduct type	Post curation result	Fill %	MS/MS assigned	Reference RT	Reference m/z	Formula	Ontology	INCHIKEY	SMILES	Annotation tag (VS1.0)	RT matched	m/z matched	MS/MS matched	Comment	Manually modified	Isotope tracking parent ID	Isotope tracking weight number	Total score	RT similarity	Dot product	Reverse dot product	Fragment presence %	S/N average	Spectrum reference file name	MS1 isotopic spectrum	MS/MS spectrum	160824_Liver_AA_Neg_16	160824_Liver_AA_Neg_17	160824_Liver_AA_Neg_19	160824_Liver_AA_Neg_20	160824_Liver_Blank_Neg	160824_Liver_DHA_Neg_11	160824_Liver_DHA_Neg_12	160824_Liver_DHA_Neg_14	160824_Liver_DHA_Neg_15	160824_Liver_EPA_Neg_06	160824_Liver_EPA_Neg_07	160824_Liver_EPA_Neg_09	160824_Liver_EPA_Neg_10	160824_Liver_normal_Neg_01	160824_Liver_normal_Neg_02	160824_Liver_normal_Neg_04	160824_Liver_normal_Neg_05	160824_Liver_Standard_Neg
578	6.067	400.33853	ACar 16:0	[M]+		0.667	TRUE	6.11	400.34213	C23H46NO4	ACar	XOMRRQXKHMYMOC-UHFFFAOYNA-O	CCCCCCCCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	75	75	100	80.22	160824_Liver_normal_Pos_01	400.34082:618 401.34417:448 402.34753:55	85.02402:10 85.02792:31 89.06355:10 119.08586:5 147.07785:5 400.3382:15	0.408990127	0.761317904	0.809647671	0.721301659	116.9892473	0.660401134	0.775192128	1.637868742	1.365444697	0.428123033	1.046622776	0.64741994	1.210162818	0.452541599	0.52217106	0.427332744	0.984131624	0.080955593
664	6.718	431.38806	ACar 18:0(d3)	[M+IsoProp+Na+H]+	adduct linked to 590_[M+H]+; adduct linked to 740_[M+Na]+	0.944	TRUE	6.71	431.39319		ACar			Class resolved; inconsistency with MSP file	TRUE	TRUE	TRUE	IS (Yes)	TRUE	null	null	94.9	100	87.9	87.8	100	32947.53	160824_Liver_AA_Pos_20	431.39267:694744 432.39602:412258 433.39938:65651	71.08474:112 74.10429:92 79.05341:25 81.07201:153 83.08518:61 84.08098:143 84.76935:76 85.02675:17333 86.10738:41 88.11817:76 89.05702:20 95.0847:239 97.09839:66 100.12177:51 103.04108:46 103.07259:25 109.10278:133 111.11474:31 114.13625:36 123.10561:10 123.11501:76 129.0764:117 137.13126:31 142.1747:5 144.099:664 151.14745:20 162.11111:36 180.50253:5 252.2794:36 270.28665:455 288.30099:102 367.77499:5 372.31833:1016 430.0433:25 431.39023:5362	640	640	640	640	640	640	640	640	640	640	640	640	640	640	640	640	640	640
634	6.213	426.35715	ACar 18:1	[M]+		0.5	TRUE	6.34	426.35779	C25H48NO4	ACar	HOAMADDCQBUDDY-KHPPLWFENA-O	CCCCCC\C=C/CCCCCCCCCC(=O)OC(CC(O)=O)C[N+](C)(C)C	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.4	75	75	100	37.08	160824_Liver_DHA_Pos_14	426.35788:1278 427.36123:744 428.36459:144	85.03219:25 426.36118:10	0.325946447	0.387951269	0.5760227	0.491922204	41.29032258	0.362736053	0.41976807	1.296096751	0.730277868	0.37110228	0.797660864	0.417860909	0.577271261	0.607050139	0.409417142	0.46344537	2.013041734	0.007936823
1697	8.162	790.55103	BMP 18:1-18:2	[M+NH4]+		0.167	TRUE	8.02	790.55927	C42H77O10P	BMP	ORHQIMMGYUCYFD-LTEAFHAINA-N	CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(=O)CCCCCCC\C=C/C\C=C/CCCCC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.4	85.4	82	100	106.06	160824_Liver_normal_Pos_05	790.55103:842 791.55438:1105 792.55774:316	163.15106:10 337.27747:194 339.28339:143 601.53015:20	1.191333537	2.305267897	2.162679426	3.908543923	96	1.190771521	0.830555965	1.0788472	0.702109705	1.302538303	1.704039123	1.452954048	1.201984408	6.84777978	9.182347418	6.41392169	12.2528422	0.133525919
2004	8.124	838.55811	BMP 18:1-22:6	[M+NH4]+		0.222	TRUE	8.14	838.55927	C46H77O10P	BMP	ZLQZKMCFSDQKCB-HILQMKNTNA-N	CCCCCCCC\C=C/CCCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	100	72.9	81.8	100	129.22	160824_Liver_normal_Pos_05	838.55811:1530 839.56146:1846 840.56482:369	79.05096:5 81.06824:8 91.05333:5 93.07036:8 117.07918:3 133.10344:3 161.13347:8 181.1019:3 194.99896:5 195.17435:3 209.13211:8 211.14464:3 247.23776:5 263.1687:3 265.25565:15 334.89566:3 337.27527:18 339.28897:366 340.30066:10 385.27835:219 386.28152:8 387.29153:8 561.49219:13 649.50568:8 717.41589:3 729.46448:10	3.124809277	4.250337686	5.684210526	8.259927798	48	9.430910444	5.606252765	7.238716694	6.589029536	5.956551566	8.346314074	5.164113786	4.263642807	12.03866951	9.32657277	9.516469857	22.26466576	0
1991	7.911	836.54156	BMP 20:4-20:4	[M+NH4]+		0.167	TRUE	7.96	836.54364	C46H75O10P	BMP	APJATNHXZOMTND-CKKCRWTANA-N	CC\C=C/C\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	97.9	99.9	42	68	100	74.74	160824_Liver_AA_Pos_20	836.54156:892 837.54491:783 838.54827:317	203.17862:20 215.17593:10 337.27551:71 360.31268:51 361.26675:184 367.14459:10	9.315837656	7.448896893	12.68899522	17.17448857	0	3.000744232	2.397286536	2.992930941	3.420534459	1.814772467	2.642999457	3.623632385	3.197732105	3.649352777	3.701784038	3.669359851	6.432014552	0.123254694
2254	7.835	884.53882	BMP 22:6-22:6	[M+NH4]+		0.444	TRUE	7.79	884.54364	C50H75O10P	BMP	FMHFZIDTIQEZJJ-GZSOIYOPNA-N	CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCC(=O)OC(CO)COP(O)(=O)OCC(CO)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC	Chain resolved	TRUE	TRUE	TRUE		FALSE	null	null	100	99.9	70.9	70.9	100	329.2	160824_Liver_DHA_Pos_15	884.54376:3575 885.54711:5157 886.55047:1396	79.05367:51 81.071:31 83.09059:5 91.04819:20 91.05627:36 92.05392:5 93.06654:61 95.08636:41 105.07211:46 107.08469:36 117.06884:31 117.0841:5 119.08334:20 121.09794:15 129.05112:25 130.07571:5 131.08661:31 135.11514:15 145.09697:36 149.1338:15 159.11653:41 161.13219:36 169.10509:25 171.11455:31 173.12845:36 175.14667:20 181.09488:10 183.11688:25 185.13089:20 187.14629:25 197.12727:25 201.16306:31 207.1218:5 211.14943:15 213.16132:25 223.14247:20 227.17549:15 251.18533:15 293.22394:31 311.23532:20 384.06491:10 385.27417:2852 386.27734:61 695.51135:41 831.46844:10 865.0141:5	1.308513885	0.936515083	2.679425837	2.83032491	144	65.76234185	34.79840731	66.85372485	64.36005626	12.96684198	18.5357725	18.04814004	14.49184975	2.883827626	2.283568075	2.267246737	5.107776262	0.082169796
