Class	Adduct	Ion mode	IsSelected
CAR	[M+H]+	Positive	TRUE
LPC	[M+H]+	Positive	TRUE
LPC	[M+Na]+	Positive	TRUE
LPE	[M+H]+	Positive	TRUE
LPS	[M+H]+	Positive	FALSE
LPG	[M+H]+	Positive	FALSE
LPI	[M+H]+	Positive	FALSE
PC	[M+H]+	Positive	TRUE
PC	[M+Na]+	Positive	TRUE
PE	[M+H]+	Positive	TRUE
PE	[M+Na]+	Positive	TRUE
PI	[M+NH4]+	Positive	TRUE
PI	[M+Na]+	Positive	TRUE
PS	[M+H]+	Positive	TRUE
PS	[M+Na]+	Positive	TRUE
#PT	[M+H]+	Positive	FALSE
PG	[M+NH4]+	Positive	TRUE
BMP	[M+NH4]+	Positive	TRUE
HBMP	[M+NH4]+	Positive	TRUE
CL	[M+NH4]+	Positive	TRUE
EtherLPC	[M+H]+	Positive	TRUE
EtherLPE	[M+H]+	Positive	TRUE
EtherPC	[M+H]+	Positive	TRUE
EtherPE	[M+H]+	Positive	TRUE
Sph	[M+H]+	Positive	TRUE
DHSph	[M+H]+	Positive	TRUE
PhytoSph	[M+H]+	Positive	TRUE
SM	[M+H]+	Positive	TRUE
SM	[M+Na]+	Positive	TRUE
NAE	[M+H]+	Positive	TRUE
GPNAE	[M+H]+	Positive	TRUE
MGDG	[M+NH4]+	Positive	TRUE
DGDG	[M+NH4]+	Positive	TRUE
#MGMG	[M+NH4]+	Positive	TRUE
#DGMG	[M+NH4]+	Positive	TRUE
EtherMGDG	[M+NH4]+	Positive	TRUE
EtherDGDG	[M+NH4]+	Positive	TRUE
LDGTS	[M+H]+	Positive	FALSE
LDGTA	[M+H]+	Positive	FALSE
DGTS	[M+H]+	Positive	FALSE
DGTA	[M+H]+	Positive	FALSE
LDGCC	[M+H]+	Positive	FALSE
DGCC	[M+H]+	Positive	FALSE
SQDG	[M+NH4]+	Positive	FALSE
DGGA	[M+NH4]+	Positive	FALSE
SHexCer	[M+H]+	Positive	TRUE
DGGA	[M-H]-	Negative	FALSE
ADGGA	[M+NH4]+	Positive	FALSE
ADGGA	[M-H]-	Negative	FALSE
MG	[M+NH4]+	Positive	TRUE
DG	[M+NH4]+	Positive	TRUE
DG	[M+Na]+	Positive	TRUE
EtherDG	[M+NH4]+	Positive	TRUE
TG	[M+NH4]+	Positive	TRUE
TG	[M+Na]+	Positive	TRUE
EtherTG	[M+NH4]+	Positive	TRUE
EtherTG	[M+Na]+	Positive	TRUE
CE	[M+NH4]+	Positive	TRUE
BRSE	[M+NH4]+	Positive	TRUE
CASE	[M+NH4]+	Positive	TRUE
SISE	[M+NH4]+	Positive	TRUE
STSE	[M+NH4]+	Positive	TRUE
AHexCS	[M+NH4]+	Positive	TRUE
AHexCS	[M-H]-	Negative	TRUE
AHexCS	[M+CH3COO]-	Negative	TRUE
AHexCS	[M+HCOO]-	Negative	TRUE
AHexBRS	[M+NH4]+	Positive	TRUE
AHexBRS	[M-H]-	Negative	TRUE
AHexBRS	[M+CH3COO]-	Negative	TRUE
AHexBRS	[M+HCOO]-	Negative	TRUE
AHexCAS	[M+NH4]+	Positive	TRUE
AHexCAS	[M-H]-	Negative	TRUE
AHexCAS	[M+CH3COO]-	Negative	TRUE
AHexCAS	[M+HCOO]-	Negative	TRUE
AHexSIS	[M+NH4]+	Positive	TRUE
AHexSIS	[M-H]-	Negative	TRUE
AHexSIS	[M+CH3COO]-	Negative	TRUE
AHexSIS	[M+HCOO]-	Negative	TRUE
AHexSTS	[M+NH4]+	Positive	TRUE
AHexSTS	[M-H]-	Negative	TRUE
AHexSTS	[M+CH3COO]-	Negative	TRUE
AHexSTS	[M+HCOO]-	Negative	TRUE
#SPE	[M+H]+	Positive	TRUE
SHex	[M+NH4]+	Positive	TRUE
SSulfate	[M+NH4]+	Positive	TRUE
