Class	Adduct	Ion mode	IsSelected
CAR	[M]+	Positive	TRUE
LPC	[M+H]+	Positive	TRUE
LPC	[M+Na]+	Positive	TRUE
LPE	[M+H]+	Positive	TRUE
PC	[M+H]+	Positive	TRUE
PC	[M+Na]+	Positive	TRUE
PE	[M+H]+	Positive	TRUE
PE	[M+Na]+	Positive	TRUE
PI	[M+NH4]+	Positive	TRUE
PI	[M+Na]+	Positive	TRUE
PS	[M+H]+	Positive	TRUE
PS	[M+Na]+	Positive	TRUE
PG	[M+NH4]+	Positive	TRUE
BMP	[M+NH4]+	Positive	TRUE
HBMP	[M+NH4]+	Positive	TRUE
CL	[M+NH4]+	Positive	TRUE
EtherLPC	[M+H]+	Positive	TRUE
EtherLPE	[M+H]+	Positive	TRUE
EtherPC	[M+H]+	Positive	TRUE
EtherPE	[M+H]+	Positive	TRUE
Sph	[M+H]+	Positive	TRUE
DHSph	[M+H]+	Positive	TRUE
PhytoSph	[M+H]+	Positive	TRUE
SM	[M+H]+	Positive	TRUE
SM	[M+Na]+	Positive	TRUE
NAE	[M+H]+	Positive	FALSE
MGDG	[M+NH4]+	Positive	TRUE
DGDG	[M+NH4]+	Positive	TRUE
EtherMGDG	[M+NH4]+	Positive	TRUE
EtherDGDG	[M+NH4]+	Positive	FALSE
LDGTS	[M+H]+	Positive	TRUE
DGTS	[M+H]+	Positive	TRUE
LDGTA	[M+H]+	Positive	TRUE
DGTA	[M+H]+	Positive	TRUE
LDGTS	[M+Na]+	Positive	FALSE
DGTS	[M+Na]+	Positive	FALSE
LDGTA	[M+Na]+	Positive	FALSE
DGTA	[M+Na]+	Positive	FALSE
LDGCC	[M+H]+	Positive	TRUE
DGCC	[M+H]+	Positive	TRUE
SQDG	[M+NH4]+	Positive	TRUE
DGGA	[M+NH4]+	Positive	TRUE
SHexCer	[M+H]+	Positive	TRUE
GM3	[M+NH4]+	Positive	TRUE
DGGA	[M-H]-	Negative	TRUE
ADGGA	[M+NH4]+	Positive	TRUE
ADGGA	[M-H]-	Negative	TRUE
MG	[M+NH4]+	Positive	TRUE
DG	[M+NH4]+	Positive	TRUE
DG	[M+Na]+	Positive	FALSE
EtherDG	[M+NH4]+	Positive	TRUE
TG	[M+NH4]+	Positive	TRUE
TG	[M+Na]+	Positive	TRUE
EtherTG	[M+NH4]+	Positive	TRUE
EtherTG	[M+Na]+	Positive	TRUE
CE	[M+NH4]+	Positive	TRUE
BRSE	[M+NH4]+	Positive	TRUE
CASE	[M+NH4]+	Positive	TRUE
SISE	[M+NH4]+	Positive	TRUE
STSE	[M+NH4]+	Positive	TRUE
AHexCS	[M+NH4]+	Positive	TRUE
AHexCS	[M-H]-	Negative	TRUE
AHexCS	[M+CH3COO]-	Negative	TRUE
AHexCS	[M+HCOO]-	Negative	FALSE
AHexBRS	[M+NH4]+	Positive	TRUE
AHexBRS	[M-H]-	Negative	TRUE
AHexBRS	[M+CH3COO]-	Negative	TRUE
AHexBRS	[M+HCOO]-	Negative	FALSE
AHexCAS	[M+NH4]+	Positive	TRUE
AHexCAS	[M-H]-	Negative	TRUE
AHexCAS	[M+CH3COO]-	Negative	TRUE
AHexCAS	[M+HCOO]-	Negative	FALSE
AHexSIS	[M+NH4]+	Positive	TRUE
AHexSIS	[M-H]-	Negative	TRUE
AHexSIS	[M+CH3COO]-	Negative	TRUE
AHexSIS	[M+HCOO]-	Negative	FALSE
AHexSTS	[M+NH4]+	Positive	TRUE
AHexSTS	[M-H]-	Negative	TRUE
AHexSTS	[M+CH3COO]-	Negative	TRUE
AHexSTS	[M+HCOO]-	Negative	FALSE
SPE	[M+H]+	Positive	FALSE
SHex	[M+NH4]+	Positive	TRUE
SSulfate	[M+NH4]+	Positive	TRUE
BAHex	[M+NH4]+	Positive	FALSE
BASulfate	[M+NH4]+	Positive	TRUE
SPEHex	[M+NH4]+	Positive	FALSE
SPGHex	[M+NH4]+	Positive	FALSE
CSLPHex	[M+NH4]+	Positive	FALSE
BRSLPHex	[M+NH4]+	Positive	FALSE
CASLPHex	[M+NH4]+	Positive	FALSE
SISLPHex	[M+NH4]+	Positive	FALSE
STSLPHex	[M+NH4]+	Positive	FALSE
CSPHex	[M+NH4]+	Positive	FALSE
BRSPHex	[M+NH4]+	Positive	FALSE
CASPHex	[M+NH4]+	Positive	FALSE
SISPHex	[M+NH4]+	Positive	FALSE
STSPHex	[M+NH4]+	Positive	FALSE
SPE	[M-H]-	Negative	FALSE
SHex	[M+HCOO]-	Negative	FALSE
SHex	[M+CH3COO]-	Negative	TRUE
SSulfate	[M-H]-	Negative	TRUE
BAHex	[M+HCOO]-	Negative	FALSE
BAHex	[M+CH3COO]-	Negative	FALSE
BASulfate	[M-H]-	Negative	TRUE
SPGHex	[M-H]-	Negative	FALSE
CSLPHex	[M-H]-	Negative	FALSE
BRSLPHex	[M-H]-	Negative	FALSE
CASLPHex	[M-H]-	Negative	FALSE
SISLPHex	[M-H]-	Negative	FALSE
STSLPHex	[M-H]-	Negative	FALSE
CSPHex	[M-H]-	Negative	FALSE
BRSPHex	[M-H]-	Negative	FALSE
CASPHex	[M-H]-	Negative	FALSE
SISPHex	[M-H]-	Negative	FALSE
STSPHex	[M-H]-	Negative	FALSE
Cholesterol	[M+NH4]+	Positive	TRUE
Cholesterol	[M+Na]+	Positive	TRUE
Cholesterol	[M-H2O+H]+	Positive	TRUE
CoQ	[M+H]+	Positive	TRUE
Vitamin	[M+H]+	Positive	TRUE
Vitamin	[M+Na]+	Positive	TRUE
Vitamin	[M-H]-	Negative	TRUE
Vitamin	[M+CH3COO]-	Negative	TRUE
Vitamin	[M+HCOO]-	Negative	FALSE
VAE	[M+H]+	Positive	TRUE
VAE	[M+Na]+	Positive	TRUE
BileAcid	[M-H]-	Negative	FALSE
BileAcid	[M+CH3COO]-	Negative	FALSE
DCAE	[M-H]-	Negative	TRUE
GDCAE	[M-H]-	Negative	FALSE
GLCAE	[M-H]-	Negative	FALSE
TDCAE	[M-H]-	Negative	FALSE
TLCAE	[M-H]-	Negative	FALSE
DCAE	[M+NH4]+	Positive	TRUE
GDCAE	[M+NH4]+	Positive	FALSE
GLCAE	[M+NH4]+	Positive	FALSE
TDCAE	[M+NH4]+	Positive	FALSE
TLCAE	[M+NH4]+	Positive	FALSE
FA	[M-H]-	Negative	TRUE
FAHFA	[M-H]-	Negative	TRUE
DMEDFAHFA	[M+H]+	Positive	FALSE
DMEDFA	[M+H]+	Positive	FALSE
NAGly	[M-H]-	Negative	TRUE
NAGly	[M+H]+	Positive	TRUE
NAGly	[M+NH4]+	Positive	TRUE
NAGlySer	[M-H]-	Negative	TRUE
NAGlySer	[M+H]+	Positive	TRUE
NAGlySer	[M+NH4]+	Positive	TRUE
NAOrn	[M+H]+	Positive	TRUE
NATau	[M-H]-	Negative	TRUE
NATau	[M+H]+	Positive	TRUE
NATau	[M+NH4]+	Positive	TRUE
NAPhe	[M+H]+	Positive	TRUE
NAPhe	[M-H]-	Negative	TRUE
NATryA	[M+H]+	Positive	TRUE
NA5HT	[M+H]+	Positive	TRUE
NAAla	[M+H]+	Positive	TRUE
NAGln	[M+H]+	Positive	TRUE
NALeu	[M+H]+	Positive	TRUE
NAVal	[M+H]+	Positive	TRUE
NASer	[M+H]+	Positive	TRUE
WE	[M+NH4]+	Positive	TRUE
SL	[M-H]-	Negative	TRUE
SL	[M+H]+	Positive	TRUE
SL	[M+NH4]+	Positive	TRUE
LPC	[M+CH3COO]-	Negative	TRUE
LPC	[M+HCOO]-	Negative	FALSE
LPE	[M-H]-	Negative	TRUE
LPS	[M-H]-	Negative	TRUE
LPG	[M-H]-	Negative	TRUE
LPI	[M-H]-	Negative	TRUE
LPA	[M-H]-	Negative	TRUE
PA	[M-H]-	Negative	TRUE
PC	[M+CH3COO]-	Negative	TRUE
PC	[M+HCOO]-	Negative	FALSE
PE	[M-H]-	Negative	TRUE
PG	[M-H]-	Negative	TRUE
PI	[M-H]-	Negative	TRUE
PS	[M-H]-	Negative	TRUE
OxPC	[M+CH3COO]-	Negative	TRUE
OxPC	[M+HCOO]-	Negative	FALSE
OxPE	[M-H]-	Negative	TRUE
OxPG	[M-H]-	Negative	TRUE
OxPS	[M-H]-	Negative	TRUE
OxPI	[M-H]-	Negative	TRUE
EtherOxPC	[M+CH3COO]-	Negative	FALSE
EtherOxPC	[M+HCOO]-	Negative	FALSE
EtherOxPE	[M-H]-	Negative	TRUE
PMeOH	[M-H]-	Negative	TRUE
PEtOH	[M-H]-	Negative	TRUE
HBMP	[M-H]-	Negative	TRUE
LNAPE	[M-H]-	Negative	TRUE
LNAPS	[M-H]-	Negative	TRUE
CL	[M-H]-	Negative	TRUE
DLCL	[M-H]-	Negative	TRUE
MLCL	[M-H]-	Negative	TRUE
EtherPC	[M+CH3COO]-	Negative	TRUE
EtherPC	[M+HCOO]-	Negative	FALSE
EtherPE	[M-H]-	Negative	TRUE
EtherPS	[M-H]-	Negative	TRUE
EtherPI	[M-H]-	Negative	TRUE
EtherPG	[M-H]-	Negative	TRUE
EtherLPC	[M+CH3COO]-	Negative	TRUE
EtherLPC	[M+HCOO]-	Negative	FALSE
EtherLPE	[M-H]-	Negative	TRUE
EtherLPG	[M-H]-	Negative	TRUE
MGDG	[M+CH3COO]-	Negative	TRUE
MGDG	[M+HCOO]-	Negative	FALSE
DGDG	[M+CH3COO]-	Negative	TRUE
DGDG	[M+HCOO]-	Negative	FALSE
EtherMGDG	[M+CH3COO]-	Negative	TRUE
EtherMGDG	[M+HCOO]-	Negative	FALSE
EtherDGDG	[M+CH3COO]-	Negative	TRUE
EtherDGDG	[M+HCOO]-	Negative	FALSE
EtherSMGDG	[M-H]-	Negative	TRUE
SMGDG	[M-H]-	Negative	FALSE
SQDG	[M-H]-	Negative	TRUE
SM	[M+CH3COO]-	Negative	TRUE
SM	[M+HCOO]-	Negative	FALSE
Cer_NS	[M+H]+	Positive	TRUE
Cer_NS	[M-H]-	Negative	TRUE
Cer_NS	[M+HCOO]-	Negative	FALSE
Cer_NS	[M+CH3COO]-	Negative	TRUE
Cer_NDS	[M+H]+	Positive	TRUE
Cer_NDS	[M-H]-	Negative	TRUE
Cer_NDS	[M+HCOO]-	Negative	FALSE
Cer_NDS	[M+CH3COO]-	Negative	TRUE
Cer_AS	[M-H]-	Negative	TRUE
Cer_AS	[M+HCOO]-	Negative	FALSE
Cer_AS	[M+CH3COO]-	Negative	TRUE
Cer_ADS	[M-H]-	Negative	TRUE
Cer_ADS	[M+HCOO]-	Negative	FALSE
Cer_ADS	[M+CH3COO]-	Negative	TRUE
Cer_BS	[M-H]-	Negative	TRUE
Cer_BS	[M+HCOO]-	Negative	FALSE
Cer_BS	[M+CH3COO]-	Negative	TRUE
Cer_BDS	[M-H]-	Negative	TRUE
Cer_BDS	[M+HCOO]-	Negative	FALSE
Cer_BDS	[M+CH3COO]-	Negative	TRUE
Cer_NP	[M-H]-	Negative	TRUE
Cer_NP	[M+HCOO]-	Negative	FALSE
Cer_NP	[M+CH3COO]-	Negative	TRUE
Cer_EOS	[M+H]+	Positive	TRUE
Cer_EOS	[M-H]-	Negative	TRUE
Cer_EOS	[M+HCOO]-	Negative	FALSE
Cer_EOS	[M+CH3COO]-	Negative	TRUE
Cer_EODS	[M-H]-	Negative	TRUE
Cer_EODS	[M+HCOO]-	Negative	FALSE
Cer_EODS	[M+CH3COO]-	Negative	TRUE
Cer_AP	[M+H]+	Positive	TRUE
Cer_AP	[M-H]-	Negative	TRUE
Cer_AP	[M+HCOO]-	Negative	FALSE
Cer_AP	[M+CH3COO]-	Negative	TRUE
Cer_HS	[M+H]+	Positive	TRUE
Cer_HDS	[M+H]+	Positive	TRUE
Cer_EBDS	[M+HCOO]-	Negative	FALSE
