time_iso8601,forks_cumulative
2023-02-24 00:00:00+00:00,1
2023-02-28 00:00:00+00:00,2
2023-03-07 00:00:00+00:00,3
2023-05-06 00:00:00+00:00,4
2023-05-19 00:00:00+00:00,5
2023-07-01 00:00:00+00:00,6
2023-09-09 00:00:00+00:00,7
2023-12-08 00:00:00+00:00,8
2024-01-27 00:00:00+00:00,9
2024-02-01 00:00:00+00:00,10
2024-02-13 00:00:00+00:00,11
2024-05-13 00:00:00+00:00,12
2024-06-21 00:00:00+00:00,13
2024-10-07 00:00:00+00:00,14
2024-11-04 00:00:00+00:00,15
2024-11-12 00:00:00+00:00,16
2024-12-22 00:00:00+00:00,17
2025-01-07 00:00:00+00:00,18
2025-01-08 00:00:00+00:00,19
2025-02-24 00:00:00+00:00,21
2025-05-06 00:00:00+00:00,22
2025-06-04 00:00:00+00:00,23
