time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-20 00:00:00+00:00,3,3,274,107
2025-06-21 00:00:00+00:00,1,1,112,42
2025-06-22 00:00:00+00:00,2,2,73,35
2025-06-23 00:00:00+00:00,7,7,327,133
2025-06-24 00:00:00+00:00,9,7,339,139
2025-06-25 00:00:00+00:00,35,14,322,112
2025-06-26 00:00:00+00:00,22,9,269,125
2025-06-27 00:00:00+00:00,10,10,355,137
2025-06-28 00:00:00+00:00,3,3,97,49
2025-06-29 00:00:00+00:00,7,7,111,46
2025-06-30 00:00:00+00:00,5,5,385,150
2025-07-01 00:00:00+00:00,8,8,257,114
2025-07-02 00:00:00+00:00,7,6,339,149
2025-07-03 00:00:00+00:00,11,8,350,129
