time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-25 00:00:00+00:00,1,1,147,64
2024-04-26 00:00:00+00:00,102,2,224,77
2024-04-27 00:00:00+00:00,1,1,53,29
2024-04-28 00:00:00+00:00,2,1,88,50
2024-04-29 00:00:00+00:00,1,1,206,85
2024-04-30 00:00:00+00:00,2,2,182,78
2024-05-01 00:00:00+00:00,30,8,244,57
2024-05-02 00:00:00+00:00,8,3,239,69
2024-05-03 00:00:00+00:00,1,1,181,61
2024-05-04 00:00:00+00:00,0,0,78,26
2024-05-05 00:00:00+00:00,0,0,55,25
2024-05-06 00:00:00+00:00,4,4,327,81
2024-05-07 00:00:00+00:00,2,2,317,95
2024-05-08 00:00:00+00:00,0,0,267,100
2024-05-09 00:00:00+00:00,49,11,276,74
2024-05-10 00:00:00+00:00,34,6,195,69
2024-05-11 00:00:00+00:00,21,9,94,35
2024-05-12 00:00:00+00:00,5,4,72,22
2024-05-13 00:00:00+00:00,12,5,326,82
2024-05-14 00:00:00+00:00,6,3,263,75
2024-05-15 00:00:00+00:00,5,2,204,89
2024-05-16 00:00:00+00:00,7,2,241,85
2024-05-17 00:00:00+00:00,20,5,271,78
2024-05-18 00:00:00+00:00,3,3,178,29
2024-05-19 00:00:00+00:00,5,4,94,33
2024-05-20 00:00:00+00:00,12,9,615,121
2024-05-21 00:00:00+00:00,11,8,774,151
2024-05-22 00:00:00+00:00,12,8,488,129
2024-05-23 00:00:00+00:00,11,8,400,108
2024-05-24 00:00:00+00:00,7,4,452,99
2024-05-25 00:00:00+00:00,3,3,147,39
2024-05-26 00:00:00+00:00,3,2,132,28
2024-05-27 00:00:00+00:00,5,5,392,98
2024-05-28 00:00:00+00:00,4,4,504,113
2024-05-29 00:00:00+00:00,8,5,504,113
2024-05-30 00:00:00+00:00,35,11,585,105
2024-05-31 00:00:00+00:00,15,10,326,103
2024-06-01 00:00:00+00:00,8,4,133,36
2024-06-02 00:00:00+00:00,5,5,135,40
2024-06-03 00:00:00+00:00,13,9,360,95
2024-06-04 00:00:00+00:00,109,9,616,116
2024-06-05 00:00:00+00:00,10,7,428,111
2024-06-06 00:00:00+00:00,20,6,362,102
2024-06-07 00:00:00+00:00,8,6,454,101
2024-06-08 00:00:00+00:00,9,5,99,24
2024-06-09 00:00:00+00:00,1,1,118,30
2024-06-10 00:00:00+00:00,15,9,392,104
2024-06-11 00:00:00+00:00,11,6,511,118
